name,refcount
perl-proc-processtable,4
kxmlgui5,119
nodejs-emojione,1
perl-module-find,2
python-mocket,1
libcapnpc.so,1
perl-parse-recdescent,14
bnfc,1
haskell-mustache,2
python-zeep,1
pkcs11-helper,4
zint-qt,1
perl-xml-simple,4
sweethome3d,1
rhythmbox,1
websvn,1
thunderbird-i18n-de,1
lib32-freeglut,3
pastebinit,2
python-tarantool,1
python-aiodiscover,1
allure,1
plasma-systemmonitor,2
dotnet-runtime-8.0,1
attr,4769
lua-lpeg,10
opencc-doc,1
guake,1
pugixml,76
tesseract-data-jpn_vert,1
syntax-highlighting,106
libreoffice-fresh-el,1
libmesode,1
wavpack,54
bluez-utils,2
fuse2fs,2
libfaad.so,1
thunderbird-i18n-hr,1
vid.stab,599
vala,4
libspf2,3
python-py-cpuinfo,8
adriconf,1
inter-font,1
powerdevil,3
stylish-haskell,3
python-uhashring,1
qemu-block-dmg,4
otf-fantasque-sans-mono,1
granite,11
markdownpart,3
python-pytest-httpx,1
ttf-0xproto-nerd,1
firefox-developer-edition-i18n-sl,1
python-blosc,1
python-hunter,1
iddawc,1
frotz-ncurses,1
ngrep,1
evcxr_repl,1
libgadu,11
librtmp0,2
ruby-bake-bundler,1
python-pydocstyle,3
haskell-hls-refine-imports-plugin,2
tesseract-data-kat,1
python-pyusb,10
perl-ppi,8
hunspell-es_bo,1
qemu-tools,2
gimp-help-hr,1
ruby-rbs,3
glider,1
python-iniconfig,86
dhex,1
lv2lint,1
rocm-clang-ocl,11
timescaledb,2
libgnt,2
fcitx5-libthai,1
sloccount,1
ghostscript,104
gambas3-gb-v4l,1
perl-shell-guess,3
fastjet,1
lua-lanes,1
metacity,5
emacs,9
libglib-testing,1
python-sqlitedict,1
guestfs-tools,1
kcalc,3
tensorflow-opt-cuda,2
virtualbox-ext-vnc,1
python-cairo-docs,1
ncurses,10801
libnghttp2,4346
